state	*ID	group	remhit	nosend	transform	aura	curable	curse	active	restrict	disguise	attblue	damblue	armblue	rfblue	rlblue	rcblue	stambarblue	rpblue	attred	damred	armred	rfred	rlred	rcred	rpred	exp	plrstaydeath	monstaydeath	bossstaydeath	hide	hidedead	shatter	udead	life	green	pgsv	nooverlays	noclear	bossinv	meleeonly	notondead	overlay1	overlay2	overlay3	overlay4	pgsvoverlay	castoverlay	removerlay	stat	setfunc	remfunc	missile	skill	itemtype	itemtrans	colorpri	colorshift	light-r	light-g	light-b	onsound	offsound	gfxtype	gfxclass	cltevent	clteventfunc	cltactivefunc	srvactivefunc	canstack	sunderfull	sunder-res-reduce	*eol
progressive_steal	123																																				1										progressive_steal_1			progressive_steal	1	1																					0
progressive_other	124																																				1										progressive_other_1			progressive_other	1	1																					0
progressive_fire	125																																				1										progressive_fire_1			progressive_fire	1	1																					0
progressive_cold	126																																				1										progressive_cold_1			progressive_cold	1	1																					0
progressive_lightning	127																																				1										progressive_lightning_1			progressive_lightning	1	1																					0
shrine_armor	128							1						1																													shrine_armor	shrine_shimmer00						armorclass																							0
shrine_combat	129							1				1	1																														shrine_combat	shrine_shimmer00						tohit																							0
shrine_resist_lightning	130							1								1																											shrine_resist_lightning	shrine_shimmer01						lightresist																							0
shrine_resist_fire	131							1							1																												shrine_resist_fire	shrine_shimmer00						fireresist																							0
shrine_resist_cold	132							1									1																										shrine_resist_cold	shrine_shimmer01						coldresist																							0
shrine_resist_poison	133							1											1																								shrine_resist_poison	shrine_shimmer01						poisonresist																							0
shrine_skill	134							1																																			shrine_skill	shrine_shimmer00							9	6																					0
shrine_mana_regen	135							1																																			shrine_mana_regen	shrine_shimmer01																													0
shrine_stamina	136							1										1																									shrine_stamina	shrine_shimmer01						stamina																							0
shrine_experience	137							1																																			shrine_experience	shrine_shimmer00																													0
fenris_rage	138																																										direwolfcharged	direwolfcharged																													0
wolf	139	3			1					1	1	1																													1										14											druid_morph	druid_morph	1	430								0
bear	140	3			1					1	1		1	1																											1										14											druid_morph	druid_morph	1	431								0
bloodlust	141							1																																			bloodlust_state	bloodlust_state																													0
changeclass	142																																																		5																						0
attached	143								1																				1	1				1																	13	9																88	147				0
hurricane	144								1																																										7	4																90	145				0
armageddon	145																																																																				146				0
invis	146																																																		12	8																					0
barbs	147					1																																						spirit_of_barbs																													0
wolverine	148					1						1	1																															heart_of_wolverine						item_tohit_percent																							0
oaksage	149					1																																						oak_sage																													0
vine_beast	150								1																																										11																	89					0
cyclonearmor	151																																					1	1				cyclonearmor1front	cyclonearmor2front	cyclonearmor3front						8	5																					0
clawmastery	152																																																																								0
cloak_of_shadows	153		1											1																																					2											assassin_cloakofdarkness											0
recycled	154																												1	1	1			1																																							0
weaponblock	155																																																																								0
cloaked	156							1														1																					cloaked							skill_armor_percent																							0
quickness	157	2				1																																					quickness							attackrate																							0
bladeshield	158																																										bladeshield																														0
fade	159	2													1	1	1		1																								fade							poisonresist																							0
summonresist	160			1																																																																					0
oaksagecontrol	161					1																																																																			0
wolverinecontrol	162					1																																																																			0
barbscontrol	163					1																																																																			0
debugcontrol	164																																																																								0
itemset1	165																																																																								0
itemset2	166																																																																								0
itemset3	167																																																																								0
itemset4	168																																																																								0
itemset5	169																																																																								0
itemset6	170			1																																																																					0
runeword	171			1																																																																					0
restinpeace	172																												1	1				1								1									17		redemption									paladin_redeemed_soul											0
corpseexp	173																												1	1	1			1								1									18		corpseexplosion									necromancer_corpseexp_1											0
whirlwind	174																																										whirlwind																														0
fullsetgeneric	175																																						1				aura_fanatic																														0
monsterset	176	3			1						1																												1									fire_cast_2																1	135								0
delerium	177	3			1					1	1																																					teleport	teleport															1	212								0
antidote	178																		1																																																						0
thawing	179																1																																																								0
staminapot	180																	1																																																							0
passive_resistfire	181																																																																								0
passive_resistcold	182																																																																								0
passive_resistltng	183																																																																								0
uberminion	184																												1		1		1	1																												impact_bluemotize_1											0
cooldown	185			1																																																																					0
sharedstash	186																																																																								0
hidedead	187																											1	1			1																																									0
impale	188																																																																								0
desecrated	189																												1	1																																											0
markbear	190	4																																					1				bloodlust_state																														0
markwolf	191	5										1																											1				impregnated																														0
skinof_amazon	192	3			1						1																												1	1																								2	0								0
skinof_sorc	193	3			1						1																												1	1																								2	1								0
skinof_necro	194	3			1						1																												1	1																								2	2								0
skinof_pala	195	3			1						1																												1	1																								2	3								0
skinof_barb	196	3			1						1																												1	1																								2	4								0
skinof_druid	197	3			1						1																												1	1																								2	5								0
skinof_assa	198	3			1						1																												1	1																								2	6								0
skinof_rogue	199	3			1						1																												1	0																								1	266								0
skinof_pikemen	200	3			1						1																												1	0																								1	338								0
skinof_iron_wolf	201	3			1						1																												1	0																								1	359								0
skinof_barb_1h	202	3			1						1																												1	0																								1	523								0
skinof_barb_2h	203	3			1						1																												1	0																								1	522								0
skinof_talic	204	3			1						1																												1	0																								1	540								0
skinof_madawc	205	3			1						1																												1	0																								1	541								0
skinof_korlic	206	3			1						1																												1	0																								1	542								0
skinof_cain	207	3			1						1																												1	0																								1	146								0
skinof_cain2	208	3			1						1																												1	0																								1	244								0
skinof_gheed	209	3			1						1																												1	0																								1	147								0
skinof_akara	210	3			1						1																												1	0																								1	148								0
skinof_kashya	211	3			1						1																												1	0																								1	150								0
skinof_charsi	212	3			1						1																												1	0																								1	154								0
skinof_warriv	213	3			1						1																												1	0																								1	155								0
skinof_warriv2	214	3			1						1																												1	0																								1	175								0
skinof_atma	215	3			1						1																												1	0																								1	176								0
skinof_drognan	216	3			1						1																												1	0																								1	177								0
skinof_fara	217	3			1						1																												1	0																								1	178								0
skinof_greiz	218	3			1						1																												1	0																								1	198								0
skinof_elzix	219	3			1						1																												1	0																								1	199								0
skinof_geglash	220	3			1						1																												1	0																								1	200								0
skinof_jerhyn	221	3			1						1																												1	0																								1	201								0
skinof_lysander	222	3			1						1																												1	0																								1	202								0
skinof_meshif	223	3			1						1																												1	0																								1	210								0
skinof_asheara	224	3			1						1																												1	0																								1	252								0
skinof_hratli	225	3			1						1																												1	0																								1	253								0
skinof_alkor	226	3			1						1																												1	0																								1	254								0
skinof_ormus	227	3			1						1																												1	0																								1	255								0
skinof_halbu	228	3			1						1																												1	0																								1	257								0
skinof_natalya	229	3			1						1																												1	0																								1	297								0
skinof_jamella	230	3			1						1																												1	0																								1	405								0
skinof_larzuk	231	3			1						1																												1	0																								1	511								0
skinof_anya	232	3			1						1																												1	0																								1	512								0
skinof_malah	233	3			1						1																												1	0																								1	513								0
skinof_qualkehk	234	3			1						1																												1	0																								1	515								0
skinof_claygolem	235	3			1						1																												1	0																								1	289								0
skinof_bloodgolem	236	3			1						1																												1	0																								1	290								0
skinof_irongolem	237	3			1						1																												1	0																								1	291								0
skinof_firegolem	238	3			1						1																												1	0																								1	292								0
skinof_hydra	239	3			1						1																												1	0																								1	351								0
skinof_dopple	240	3			1						1																												1	0																								1	356								0
skinof_bladesentry	241	3			1						1																												1	0																								1	413								0
skinof_infernosentry	242	3			1						1																												1	0																								1	415								0
skinof_deathsentry	243	3			1						1																												1	0																								1	416								0
skinof_raven	244	3			1						1																												1	0																								1	419								0
skinof_wolf	245	3			1						1																												1	0																								1	420								0
skinof_spiritbarb	246	3			1						1																												1	0																								1	422								0
skinof_bear	247	3			1						1																												1	0																								1	428								0
skinof_werewolf	248	3			1						1																												1	0																								1	430								0
skinof_werebear	249	3			1						1																												1	0																								1	431								0
skinof_chicken	250	3			1						1																												1	0																								1	149								0
skinof_rat	251	3			1						1																												1	0																								1	151								0
skinof_cow	252	3			1						1																												1	0																								1	179								0
skinof_camel	253	3			1						1																												1	0																								1	185								0
skinof_men_2	254	3			1						1																												1	0																								1	195								0
skinof_women_2	255	3			1						1																												1	0																								1	196								0
skinof_merchant_1	256	3			1						1																												1	0																								1	204								0
skinof_merchant_2	257	3			1						1																												1	0																								1	205								0
skinof_bug	258	3			1						1																												1	0																								1	268								0
skinof_scorpion	259	3			1						1																												1	0																								1	269								0
skinof_larva	260	3			1						1																												1	0																								1	283								0
skinof_men_3	261	3			1						1																												1	0																								1	294								0
skinof_woman_3	262	3			1						1																												1	0																								1	296								0
skinof_snake	263	3			1						1																												1	0																								1	318								0
skinof_parrot	264	3			1						1																												1	0																								1	319								0
skinof_spider	265	3			1						1																												1	0																								1	339								0
skinof_darkwanderer	266	3			1						1																												1	0																								1	368								0
skinof_bunny	267	3			1						1																												1	0																								1	556								0
skinof_dead_barb	268	3			1						1																												1	0																								1	567								0
skinof_horse	269	3			1						1																												1	0																								1	734								0
skinof_pig	270	3			1						1																												1	0																								1	737								0
skinof_seagull	271	3			1						1																												1	0																								1	738								0
skinof_lg_guard	272	3			1						1																												1	0																								1	331								0
skinof_andariel	273	3			1						1																												1	0																								1	156								0
skinof_duriel	274	3			1						1																												1	0																								1	211								0
skinof_mephisto	275	3			1						1																												1	0																								1	242								0
skinof_diablo	276	3			1						1																												1	0																								1	243								0
skinof_baal	277	3			1						1																												1	0																								1	544								0
skinof_griswold	278	3			1						1																												1	0																								1	365								0
skinof_smith	279	3			1						1																												1	0																								1	402								0
skinof_radament	280	3			1						1																												1	0																								1	229								0
skinof_summoner	281	3			1						1																												1	0																								1	250								0
skinof_council	282	3			1						1																												1	0																								1	345								0
skinof_izual	283	3			1						1																												1	0																								1	256								0
skinof_nihlathak	284	3			1						1																												1	0																								1	526								0
skinof_skeleton	285	3			1						1																												1	0																								1	725								0
skinof_zombie	286	3			1						1																												1	0																								1	9								0
skinof_bighead	287	3			1						1																												1	0																								1	584								0
skinof_foulcrow	288	3			1						1																												1	0																								1	593								0
skinof_fallen	289	3			1						1																												1	0																								1	644								0
skinof_brute	290	3			1						1																												1	0																								1	26								0
skinof_sandraider	291	3			1						1																												1	0																								1	603								0
skinof_wraith	292	3			1						1																												1	0																								1	633								0
skinof_corruptrogue	293	3			1						1																												1	0																								1	47								0
skinof_baboon	294	3			1						1																												1	0																								1	666								0
skinof_goatman	295	3			1						1																												1	0																								1	589								0
skinof_fallenshaman	296	3			1						1																												1	0																								1	645								0
skinof_quillrat	297	3			1						1																												1	0																								1	607								0
skinof_sandmaggot	298	3			1						1																												1	0																								1	679								0
skinof_clawviper	299	3			1						1																												1	0																								1	598								0
skinof_sandleaper	300	3			1						1																												1	0																								1	78								0
skinof_pantherwoman	301	3			1						1																												1	0																								1	83								0
skinof_swarm	302	3			1						1																												1	0																								1	87								0
skinof_scarab	303	3			1						1																												1	0																								1	91								0
skinof_mummy	304	3			1						1																												1	0																								1	96								0
skinof_unraveller	305	3			1						1																												1	0																								1	101								0
skinof_vulture	306	3			1						1																												1	0																								1	110								0
skinof_mosquito	307	3			1						1																												1	0																								1	114								0
skinof_willowisp	308	3			1						1																												1	0																								1	118								0
skinof_arach	309	3			1						1																												1	0																								1	122								0
skinof_thornhulk	310	3			1						1																												1	0																								1	127								0
skinof_vampire	311	3			1						1																												1	0																								1	131								0
skinof_batdemon	312	3			1						1																												1	0																								1	136								0
skinof_fetish	313	3			1						1																												1	0																								1	141								0
skinof_darkranger	314	3			1						1																												1	0																								1	160								0
skinof_darklancer	315	3			1						1																												1	0																								1	165								0
skinof_skeletonarcher	316	3			1						1																												1	0																								1	170								0
skinof_maggotbaby	317	3			1						1																												1	0																								1	180								0
skinof_blunderbore	318	3			1						1																												1	0																								1	186								0
skinof_bonefetish	319	3			1						1																												1	0																								1	212								0
skinof_maggot	320	3			1						1																												1	0																								1	227								0
skinof_scimitar	321	3			1						1																												1	0																								1	234								0
skinof_zealot	322	3			1						1																												1	0																								1	235								0
skinof_cantor	323	3			1						1																												1	0																								1	238								0
skinof_frogdemon	324	3			1						1																												1	0																								1	247								0
skinof_tentacle	325	3			1						1																												1	0																								1	258								0
skinof_waterserpent	326	3			1						1																												1	0																								1	261								0
skinof_gargoyletrap	327	3			1						1																												1	0																								1	273								0
skinof_skeleton_poison	328	3			1						1																												1	0																								1	274								0
skinof_fetishshaman	329	3			1						1																												1	0																								1	278								0
skinof_vilemother	330	3			1						1																												1	0																								1	298								0
skinof_vilechild	331	3			1						1																												1	0																								1	301								0
skinof_fingermage	332	3			1						1																												1	0																								1	304								0
skinof_regurgitator	333	3			1						1																												1	0																								1	307								0
skinof_doomknight	334	3			1						1																												1	0																								1	310								0
skinof_necromage	335	3			1						1																												1	0																								1	364								0
skinof_invisible	336	3			1						1																												1	0																								1	369								0
skinof_slinger	337	3			1						1																												1	0																								1	373								0
skinof_skeleton_cold	338	3			1						1																												1	0																								1	379								0
skinof_skeleton_fire	339	3			1						1																												1	0																								1	383								0
skinof_skeleton_light	340	3			1						1																												1	0																								1	387								0
skinof_hellbovine	341	3			1						1																												1	0																								1	391								0
skinof_fetishblow	342	3			1						1																												1	0																								1	396								0
skinof_spirit	343	3			1						1																												1	0																								1	401								0
skinof_trappedsoul	344	3			1						1																												1	0																								1	403								0
skinof_reanimatedhorde	345	3			1						1																												1	0																								1	436								0
skinof_siegebeast	346	3			1						1																												1	0																								1	441								0
skinof_snowyeti	347	3			1						1																												1	0																								1	446								0
skinof_minion	348	3			1						1																												1	0																								1	453								0
skinof_suicideminion	349	3			1						1																												1	0																								1	461								0
skinof_succubus	350	3			1						1																												1	0																								1	469								0
skinof_witch	351	3			1						1																												1	0																								1	474								0
skinof_overseer	352	3			1						1																												1	0																								1	479								0
skinof_imp	353	3			1						1																												1	0																								1	492								0
skinof_frozenhorror	354	3			1						1																												1	0																								1	501								0
skinof_bloodlord	355	3			1						1																												1	0																								1	506								0
skinof_deathmauler	356	3			1						1																												1	0																								1	529								0
skinof_putriddefiler	357	3			1						1																												1	0																								1	546								0
skinof_painworm	358	3			1						1																												1	0																								1	551								0
skinof_baaltentacle	359	3			1						1																												1	0																								1	562								0
skinof_venomlord	360	3			1						1																												1	0																								1	558								0
skinof_tyrael	361	3			1						1																												1	0																								1	367								0
skinof_izualghost	362	3			1						1																												1	0																								1	406								0
skinof_speed	363	3			1						1																												1	0																								1	574								0
skinof_ancientstatue	364	3			1						1																												1	0																								1	537								0
skinof_wall	365	3			1						1																												1	0																								1	524								0
skinof_catapult	366	3			1						1																												1	0																								1	497								0
skinof_minionspawner	367	3			1						1																												1	0																								1	484								0
skinof_baricadedoor	368	3			1						1																												1	0																								1	432								0
skinof_prisondoor	369	3			1						1																												1	0																								1	434								0
skinof_tower	370	3			1						1																												1	0																								1	435								0
skinof_meletrap	371	3			1						1																												1	0																								1	354								0
skinof_turret	372	3			1						1																												1	0																								1	348								0
skinof_boneprison	373	3			1						1																												1	0																								1	340								0
skinof_bonewall	374	3			1						1																												1	0																								1	344								0
skinof_bird	375	3			1						1																												1	0																								1	157								0
skinof_bat	376	3			1						1																												1	0																								1	159								0
